"","TaxonName","CommonName","FleetGearName","bycatch","destruction","TaxonKey","FunctionalGroupDescription","fish_type"
"239","Stolephorus","Indo-Pacific anchovies","Gillnet","high","non-destructive",507720,"Small pelagics (<30 cm)","pelagic"
"240","Hemiramphus","Halfbeaks","Seine","high","non-destructive",509289,"Medium pelagics (30 - 89 cm)","pelagic"
"241","Thunnus albacares","Yellowfin tuna","Gillnet","high","non-destructive",600143,"Large pelagics (>=90 cm)","pelagic"
"242","Engraulidae","Anchovies","Purse seine Non-tuna","low","non-destructive",400454,"Small pelagics (<30 cm)","pelagic"
"243","Scomber japonicus","Chub mackerel","Purse seine Non-tuna","low","non-destructive",600117,"Medium pelagics (30 - 89 cm)","pelagic"
"244","Pagrus pagrus","Common seabream","Trawl","high","destructive",601756,"Medium benthopelagics (30 - 89 cm)","demersal"
"245","Serranidae","Sea basses groupers fairy basslets","Lines Non-tuna","low","non-destructive",400289,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"246","Scomberomorus sierra","Pacific sierra","Purse seine Tuna","low","non-destructive",600136,"Large pelagics (>=90 cm)","pelagic"
"247","Eleginus nawaga","Navaga","Trawl","high","destructive",600314,"Medium demersals (30 - 89 cm)","demersal"
"248","Clams cockles arkshells","Clams cockles arkshells","Other","low","non-destructive",NA,NA,"demersal"
"249","Trachurus murphyi","Inca scad","Purse seine Non-tuna","low","non-destructive",600367,"Medium pelagics (30 - 89 cm)","pelagic"
"250","Crangonidae","Crongonid shrimp","Trawl","high","destructive",490044,"Shrimps","demersal"
"251","Aequipecten opercularis","Queen scallop","Dredge","high","destructive",690314,"Other demersal invertebrates","demersal"
"252","Platycephalus indicus","Bartail flathead","Seine","high","non-destructive",600950,"Medium demersals (30 - 89 cm)","demersal"
"253","Marine animals","Marine animals","Trawl","high","destructive",NA,NA,"demersal"
"254","Ostraciidae","Boxfishes (cowfish and trunkfish)","Other","low","non-destructive",400446,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"255","Harengula","Herring","Trawl midwater","high","non-destructive",501941,"Small pelagics (<30 cm)","pelagic"
"256","Nemipteridae","Threadfin breams Whiptail breams","Trawl","high","destructive",400324,"Small reef assoc. fish (<30 cm)","demersal"
"257","Zeus faber","John dory","Trawl","high","destructive",601370,"Medium benthopelagics (30 - 89 cm)","demersal"
"258","Sphyrna","Hammerhead sharks","Gillnet","high","non-destructive",500693,"Large sharks (>=90 cm)","pelagic"
"259","Lepidorhombus whiffiagonis","Megrim","Trawl","high","destructive",600028,"Small to medium flatfishes (<90 cm)","demersal"
"260","Chirocentrus","Wolf herring","Purse seine Non-tuna","low","non-destructive",500856,"Large benthopelagics (>=90 cm)","pelagic"
"261","Thunnus thynnus","Atlantic bluefin tuna","Lines Non-tuna","low","non-destructive",600147,"Large pelagics (>=90 cm)","pelagic"
"262","Xiphias gladius","Swordfish","Gillnet","high","non-destructive",600226,"Large pelagics (>=90 cm)","pelagic"
"263","Menticirrhus","Kingcroakers","Trawl midwater","high","non-destructive",502790,"Medium demersals (30 - 89 cm)","pelagic"
"264","Thunnus albacares","Yellowfin tuna","Purse seine Tuna","low","non-destructive",600143,"Large pelagics (>=90 cm)","pelagic"
"265","Lophius piscatorius","Angler","Trawl","high","destructive",600716,"Large bathydemersals (>=90 cm)","demersal"
"266","Gadidae","Cods and haddocks","Purse seine Non-tuna","low","non-destructive",400183,"Medium demersals (30 - 89 cm)","demersal"
"267","Sepiida","Cuttlefishes","Trawl midwater","high","non-destructive",390006,"Cephalopods","pelagic"
"268","Stromateidae","Butterfishes","Trawl","high","destructive",400425,"Medium benthopelagics (30 - 89 cm)","demersal"
"269","Pseudotolithus","Croakers","Trawl","high","destructive",503152,"Large demersals (>=90 cm)","demersal"
"270","Oncorhynchus keta","Chum salmon","Gillnet","high","non-destructive",600241,"Large benthopelagics (>=90 cm)","pelagic"
"271","Megalops cyprinoides","Indo-Pacific tarpon","LonglineTuna","high","non-destructive",600227,"Large pelagics (>=90 cm)","pelagic"
"272","Carcharhinus limbatus","Blacktip shark","Gillnet","high","non-destructive",600874,"Large sharks (>=90 cm)","pelagic"
"273","Diplodus","Seabreams and porgies","Trawl","high","destructive",500705,"Medium benthopelagics (30 - 89 cm)","demersal"
"274","Marine fishes not identified","Marine fishes","Lines Non-tuna","low","non-destructive",100039,"Medium demersals (30 - 89 cm)","demersal"
"275","Scorpaenidae","Scorpionfishes or rockfishes","Gillnet","high","non-destructive",400264,"Large reef assoc. fish (>=90 cm)","pelagic"
"276","Clupeidae","Herrings shads sardines menhadens","Trawl midwater","high","non-destructive",400043,"Small pelagics (<30 cm)","pelagic"
"277","Epigonus telescopus","Bulls-eye","Trawl","high","destructive",602508,"Medium bathydemersals (30 - 89 cm)","demersal"
"278","Engraulis anchoita","Argentine anchoita","Seine","high","non-destructive",601659,"Small pelagics (<30 cm)","pelagic"
"279","Thunnus orientalis","Pacific bluefin tuna","Gillnet","high","non-destructive",614290,"Large pelagics (>=90 cm)","pelagic"
"280","Salmo trutta trutta","Sea trout","Gillnet","high","non-destructive",NA,NA,"pelagic"
"281","Homarus americanus","American lobster","Trap","high","non-destructive",690010,"Lobsters, crabs","demersal"
"282","Glyptocephalus cynoglossus","Witch","Trawl","high","destructive",600026,"Small to medium flatfishes (<90 cm)","demersal"
"283","Menticirrhus saxatilis","Northern kingcroaker","Lines Non-tuna","low","non-destructive",600410,"Medium demersals (30 - 89 cm)","demersal"
"284","Farfantepenaeus notialis","Southern pink shrimp","Trawl","high","destructive",690378,"Shrimps","demersal"
"285","Strombus","Stromboid conchs","Other","low","non-destructive",590051,"Other demersal invertebrates","demersal"
"286","Clupea harengus","Atlantic herring","Purse seine Non-tuna","low","non-destructive",600024,"Medium pelagics (30 - 89 cm)","pelagic"
"287","Sebastes","Redfishes","Gillnet","high","non-destructive",501135,"Large reef assoc. fish (>=90 cm)","pelagic"
"288","Portunus","Swims crabs","Trap","high","non-destructive",590075,"Lobsters, crabs","demersal"
"289","Coregonus sardinella","Sardine cisco","Lines Non-tuna","low","non-destructive",602678,"Medium pelagics (30 - 89 cm)","pelagic"
"290","Centrolophidae","Medusafishes","Seine","high","non-destructive",400421,"Medium pelagics (30 - 89 cm)","pelagic"
"291","Ostrea lurida","Olympia flat oyster","Other","low","non-destructive",690279,"Other demersal invertebrates","demersal"
"292","Prionace glauca","Blue shark","Gillnet","high","non-destructive",600898,"Large sharks (>=90 cm)","pelagic"
"293","Thunnus obesus","Bigeye tuna","LonglineTuna","high","non-destructive",600146,"Large pelagics (>=90 cm)","pelagic"
"294","Thyrsites atun","Snoek","Lines Non-tuna","low","non-destructive",600489,"Large benthopelagics (>=90 cm)","pelagic"
"295","Makaira nigricans","Atlantic blue marlin","Purse seine Tuna","low","non-destructive",600216,"Large pelagics (>=90 cm)","pelagic"
"296","Octopoda","Octopuses","Trawl","high","destructive",390007,"Cephalopods","demersal"
"297","Merluccius merluccius","European hake","Seine","high","non-destructive",600030,"Large demersals (>=90 cm)","demersal"
"298","Sprattus sprattus","European sprat","Trawl midwater","high","non-destructive",601357,"Small pelagics (<30 cm)","pelagic"
"299","Teuthida","Squids","Trawl","high","destructive",390002,"Cephalopods","demersal"
"300","Coryphaena","Coryphaena","Lines Non-tuna","low","non-destructive",500116,"Large pelagics (>=90 cm)","pelagic"
"301","Pagrus pagrus","Common seabream","Lines Non-tuna","low","non-destructive",601756,"Medium benthopelagics (30 - 89 cm)","pelagic"
"302","Phycis phycis","Forkbeard","Trawl","high","destructive",601747,"Medium benthopelagics (30 - 89 cm)","demersal"
"303","Trachurus","Jack and horse mackerels","Seine","high","non-destructive",500661,"Medium pelagics (30 - 89 cm)","pelagic"
"304","Synodontidae","Lizardfishes","Seine","high","non-destructive",400160,"Medium demersals (30 - 89 cm)","demersal"
"305","Sardinella longiceps","Indian oil sardine","Gillnet","high","non-destructive",601511,"Small pelagics (<30 cm)","pelagic"
"306","Malacanthidae","Tilefishes","Trawl midwater","high","non-destructive",400308,"Medium demersals (30 - 89 cm)","pelagic"
"307","Austroglossus","Southern soles","Trawl","high","destructive",505799,"Small to medium flatfishes (<90 cm)","demersal"
"308","Nemipteridae","Threadfin breams Whiptail breams","Gillnet","high","non-destructive",400324,"Small reef assoc. fish (<30 cm)","pelagic"
"309","Cyclopterus lumpus","Lumpsucker","Gillnet","high","non-destructive",600062,"Medium benthopelagics (30 - 89 cm)","pelagic"
"310","Sardinella aurita","Round sardinella","Purse seine Non-tuna","low","non-destructive",601043,"Small pelagics (<30 cm)","pelagic"
"311","Leiognathus","Slipmouths","Trawl","high","destructive",500515,"Small benthopelagics (<30 cm)","demersal"
"312","Polyprion americanus","Wreckfish","Lines Non-tuna","low","non-destructive",600349,"Large bathydemersals (>=90 cm)","demersal"
"313","Hemiramphus","Halfbeaks","Trawl midwater","high","non-destructive",509289,"Medium pelagics (30 - 89 cm)","pelagic"
"314","Sardinella","Sardinella","Gillnet","high","non-destructive",501940,"Small pelagics (<30 cm)","pelagic"
"315","Carangoides bajad","Orangespotted trevally","Lines Non-tuna","low","non-destructive",601923,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"316","Gymnocranius","Large-eye breams","Gillnet","high","non-destructive",503580,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"317","Pellona ditchela","Indian pellona","Trawl midwater","high","non-destructive",601641,"Small pelagics (<30 cm)","pelagic"
"318","Boops boops","Bogue","Trawl","high","destructive",600203,"Medium demersals (30 - 89 cm)","demersal"
"319","Merluccius merluccius","European hake","Trawl","high","destructive",600030,"Large demersals (>=90 cm)","demersal"
"320","Pecten maximus","Great Atlantic scallop","Dredge","high","destructive",690156,"Other demersal invertebrates","demersal"
"321","Thunnus orientalis","Pacific bluefin tuna","Purse seine Tuna","low","non-destructive",614290,"Large pelagics (>=90 cm)","pelagic"
"322","Pollachius pollachius","Pollack","Trawl","high","destructive",600034,"Large benthopelagics (>=90 cm)","demersal"
"323","Clupea harengus","Atlantic herring","Lines Non-tuna","low","non-destructive",600024,"Medium pelagics (30 - 89 cm)","pelagic"
"324","Totoaba macdonaldi","Totoaba","Trawl midwater","high","non-destructive",606317,"Large benthopelagics (>=90 cm)","pelagic"
"325","Thunnus","Tuna","Trap","high","non-destructive",501905,"Large pelagics (>=90 cm)","demersal"
"326","Micropogonias undulatus","Atlantic croaker","Trawl midwater","high","non-destructive",600408,"Medium demersals (30 - 89 cm)","pelagic"
"327","Squaliformes","Bramble sleeper dogfish sharks","Gillnet","high","non-destructive",300009,"Large sharks (>=90 cm)","pelagic"
"328","Necora puber","Velvet swimcrab","Trawl","high","destructive",690425,"Lobsters, crabs","demersal"
"329","Mytilidae","Sea mussels","Other","low","non-destructive",490054,"Other demersal invertebrates","demersal"
"330","Trachinotus","Pompanos","Gillnet","high","non-destructive",500598,"Medium benthopelagics (30 - 89 cm)","pelagic"
"331","Valamugil seheli","Bluespot mullet","Gillnet","high","non-destructive",NA,NA,"pelagic"
"332","Apogonidae","Cardinalfishes","Other","low","non-destructive",400304,"Small reef assoc. fish (<30 cm)","pelagic"
"333","Scyllaridae","Slipper lobsters","Trap","high","non-destructive",490040,"Lobsters, crabs","demersal"
"334","Istiophorus albicans","Atlantic sailfish","Gillnet","high","non-destructive",600078,"Large pelagics (>=90 cm)","pelagic"
"335","Macrourus","Grenadiers","Lines Non-tuna","low","non-destructive",500327,"Medium benthopelagics (30 - 89 cm)","pelagic"
"336","Strombus","Stromboid conchs","Dredge","high","destructive",590051,"Other demersal invertebrates","demersal"
"337","Thunnus albacares","Yellowfin tuna","Lines Non-tuna","low","non-destructive",600143,"Large pelagics (>=90 cm)","pelagic"
"338","Oreosomatidae","Oreos","Trawl","high","destructive",400250,"Medium bathypelagics (30 - 89 cm)","demersal"
"339","Mactra sachalinensis","Hen clam","Other","low","non-destructive",690176,"Other demersal invertebrates","demersal"
"340","Genyonemus lineatus","White croaker","Gillnet","high","non-destructive",600422,"Medium benthopelagics (30 - 89 cm)","pelagic"
"341","Epigonus","Cardinalfishes","Trawl","high","destructive",500716,"Large reef assoc. fish (>=90 cm)","demersal"
"342","Tautogolabrus adspersus","Cunner","Gillnet","high","non-destructive",603672,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"343","Cynoscion","Weakfishes","Trawl","high","destructive",502794,"Medium demersals (30 - 89 cm)","demersal"
"344","Exocoetidae","Flyingfishes","Seine","high","non-destructive",400206,"Small pelagics (<30 cm)","pelagic"
"345","Phycis","Gunnels forkbeards","Trawl midwater","high","non-destructive",509303,"Medium benthopelagics (30 - 89 cm)","pelagic"
"346","Chelidonichthys kumu","Bluefin gurnard","Trawl","high","destructive",600507,"Medium demersals (30 - 89 cm)","demersal"
"347","Parastromateus niger","Black pomfret","Gillnet","high","non-destructive",601947,"Medium benthopelagics (30 - 89 cm)","pelagic"
"348","Tenualosa ilisha","Hilsa shad","Gillnet","high","non-destructive",601596,"Medium pelagics (30 - 89 cm)","pelagic"
"349","Scomberomorus commerson","Narrow-barred Spanish mackerel","Lines Non-tuna","low","non-destructive",600121,"Large pelagics (>=90 cm)","pelagic"
"350","Panulirus argus","Caribbean spiny lobster","Trap","high","non-destructive",690071,"Lobsters, crabs","demersal"
"351","Seriola dumerili","Greater amberjack","Lines Non-tuna","low","non-destructive",601005,"Large reef assoc. fish (>=90 cm)","pelagic"
"352","Mustelus lenticulatus","Spotted estuary smooth-hound","Gillnet","high","non-destructive",605933,"Large sharks (>=90 cm)","pelagic"
"353","Trachurus mediterraneus","Mediterranean horse mackerel","Trawl","high","destructive",601278,"Medium pelagics (30 - 89 cm)","demersal"
"354","Semicossyphus pulcher","California sheephead","Trap","high","non-destructive",603671,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"355","Decapterus maruadsi","Japanese scad","Purse seine Non-tuna","low","non-destructive",601939,"Small pelagics (<30 cm)","pelagic"
"356","Dicentrarchus labrax","European seabass","Trawl midwater","high","non-destructive",600063,"Large demersals (>=90 cm)","pelagic"
"357","Engraulis ringens","Anchoveta","Purse seine Non-tuna","low","non-destructive",600004,"Small pelagics (<30 cm)","pelagic"
"358","Soleidae","Soles","Trawl","high","destructive",400441,"Small to medium flatfishes (<90 cm)","demersal"
"359","Merluccius","Hakes","Trawl","high","destructive",500654,"Medium bathydemersals (30 - 89 cm)","demersal"
"360","Gobiidae","Gobies","Trawl","high","destructive",400405,"Small reef assoc. fish (<30 cm)","demersal"
"361","Polynemidae","Threadfins","Seine","high","non-destructive",400361,"Small demersals (<30 cm)","demersal"
"362","Holocentridae","Squirrelfishes soldierfishes","Lines Non-tuna","low","non-destructive",400243,"Small reef assoc. fish (<30 cm)","pelagic"
"363","Scolopsis","Monocle breams","Trawl","high","destructive",500808,"Small reef assoc. fish (<30 cm)","demersal"
"364","Leiostomus xanthurus","Spot croaker","Trawl midwater","high","non-destructive",600429,"Medium demersals (30 - 89 cm)","pelagic"
"365","Seriola lalandi","Yellowtail amberjack","Gillnet","high","non-destructive",600382,"Large benthopelagics (>=90 cm)","pelagic"
"366","Rastrelliger kanagurta","Indian mackerel","Other","low","non-destructive",600111,"Medium pelagics (30 - 89 cm)","pelagic"
"367","Octopoda","Octopuses","Trawl midwater","high","non-destructive",390007,"Cephalopods","pelagic"
"368","Rastrelliger brachysoma","Short mackerel","Seine","high","non-destructive",600109,"Medium pelagics (30 - 89 cm)","pelagic"
